z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.268268,-0.00202769,0.00740544,0,0,0,0,-0.00236346,0.00108666,0
0.269269,0,0,0,-3.12438e-11,-1.40431e-11,1.40431e-11,0,0,0
0.27027,-0.00576806,0.0098503,0,0,0,0,-0.00163497,-0.000641459,0
0.271271,0,0,0,-2.43088e-11,-1.75378e-11,1.75378e-11,0,0,0
0.272272,-0.0054466,0.00346257,0,0,0,0,-0.000664708,-0.00182694,0
0.273273,0,0,0,4.17871e-12,-1.20637e-11,1.20637e-11,0,0,0
0.274274,-0.00368903,-0.00638391,0,0,0,0,3.96724e-05,-0.00151045,0
0.275275,0,0,0,3.09154e-11,-7.52695e-12,7.52695e-12,0,0,0
0.276276,-0.00308284,-0.0118902,0,0,0,0,0.000428984,7.71696e-05,0
0.277277,0,0,0,3.56315e-11,-8.54317e-12,8.54317e-12,0,0,0
0.278278,-0.00376723,-0.00911309,0,0,0,0,0.000722823,0.00179557,0
0.279279,0,0,0,1.59795e-11,-1.14808e-11,1.14808e-11,0,0,0
0.28028,-0.00393361,-0.000349661,0,0,0,0,0.00105,0.00250649,0
0.281281,0,0,0,-1.33633e-11,-9.86978e-12,9.86978e-12,0,0,0
0.282282,-0.00204602,0.00839788,0,0,0,0,0.00129363,0.00183775,0
0.283283,0,0,0,-3.34592e-11,-1.34739e-12,1.34739e-12,0,0,0
0.284284,0.00158003,0.0120129,0,0,0,0,0.00122853,0.00029706,0
0.285285,0,0,0,-3.41044e-11,1.02137e-11,-1.02137e-11,0,0,0
0.286286,0.00505567,0.00928693,0,0,0,0,0.000760924,-0.00119653,0
0.287287,0,0,0,-1.82457e-11,1.8144e-11,-1.8144e-11,0,0,0
0.288288,0.00644985,0.00278114,0,0,0,0,4.041e-05,-0.00192485,0
0.289289,0,0,0,2.79552e-12,1.81052e-11,-1.81052e-11,0,0,0
0.29029,0.00513942,-0.00353565,0,0,0,0,-0.00062924,-0.0017148,0
0.291291,0,0,0,1.77631e-11,1.07255e-11,-1.07255e-11,0,0,0
0.292292,0.00204094,-0.00680491,0,0,0,0,-0.000981391,-0.00088757,0
0.293293,0,0,0,2.14438e-11,4.6204e-13,-4.6204e-13,0,0,0
0.294294,-0.00117681,-0.00643786,0,0,0,0,-0.000929505,4.06016e-05,0
0.295295,0,0,0,1.55232e-11,-7.6436e-12,7.6436e-12,0,0,0
0.296296,-0.00314493,-0.00370453,0,0,0,0,-0.000580435,0.000664734,0
0.297297,0,0,0,5.54533e-12,-1.07478e-11,1.07478e-11,0,0,0
0.298298,-0.00340854,-0.000509697,0,0,0,0,-0.000140756,0.000841365,0
0.299299,0,0,0,-3.03466e-12,-9.02573e-12,9.02573e-12,0,0,0
0.3003,-0.00238416,0.00171224,0,0,0,0,0.000203215,0.000661616,0
0.301301,0,0,0,-7.32522e-12,-4.6815e-12,4.6815e-12,0,0,0
0.302302,-0.000893467,0.002467,0,0,0,0,0.000360613,0.00032575,0
0.303303,0,0,0,-7.31754e-12,-2.76432e-13,2.76432e-13,0,0,0
0.304304,0.000339699,0.00205077,0,0,0,0,0.000342977,1.7048e-05,0
0.305305,0,0,0,-4.74826e-12,2.52584e-12,-2.52584e-12,0,0,0
0.306306,0.000964416,0.00110372,0,0,0,0,0.000223185,-0.000166268,0
0.307307,0,0,0,-1.64585e-12,3.33278e-12,-3.33278e-12,0,0,0
0.308308,0.00100441,0.000199511,0,0,0,0,8.31956e-05,-0.000214507,0
0.309309,0,0,0,6.31112e-13,2.68161e-12,-2.68161e-12,0,0,0
0.31031,0.000695309,-0.0003581,0,0,0,0,-2.14532e-05,-0.000171706,0
0.311311,0,0,0,1.64531e-12,1.43416e-12,-1.43416e-12,0,0,0
0.312312,0.000300203,-0.00053376,0,0,0,0,-7.1686e-05,-9.45594e-05,0
0.313313,0,0,0,1.63216e-12,2.93659e-13,-2.93659e-13,0,0,0
0.314314,-5.26564e-06,-0.000449168,0,0,0,0,-7.60202e-05,-2.5231e-05,0
0.315315,0,0,0,1.09165e-12,-3.97646e-13,3.97646e-13,0,0,0
0.316316,-0.000160001,-0.000261218,0,0,0,0,-5.48657e-05,1.72634e-05,0
0.317317,0,0,0,4.69703e-13,-6.21217e-13,6.21217e-13,0,0,0
0.318318,-0.000186047,-8.56286e-05,0,0,0,0,-2.75351e-05,3.26007e-05,0
0.319319,0,0,0,1.7675e-14,-5.33754e-13,5.33754e-13,0,0,0
0.32032,-0.000139733,2.5202e-05,0,0,0,0,-5.88357e-06,2.98571e-05,0
0.321321,0,0,0,-2.01714e-13,-3.22633e-13,3.22633e-13,0,0,0
0.322322,-7.38273e-05,6.87115e-05,0,0,0,0,6.14584e-06,1.94604e-05,0
0.323323,0,0,0,-2.39364e-13,-1.21946e-13,1.21946e-13,0,0,0
0.324324,-2.03053e-05,6.6866e-05,0,0,0,0,9.84512e-06,8.83807e-06,0
0.325325,0,0,0,-1.81314e-13,8.21531e-15,-8.21531e-15,0,0,0
0.326326,1.01257e-05,4.51641e-05,0,0,0,0,8.55364e-06,1.4629e-06,0
